ID_SR_SOLA,IME_SR_SOLA
37001,GIMNAZIJA ORMOŽ
37101,LJUDSKA UNIVERZA ORMOŽ
38001,POMORSKI IN TEHNIŠKI IZOBRAŽEVALNI CENTER PORTOROŽ
38002,SREDNJA ZDRAVSTVENA ŠOLA PIRAN
38003,GIMNAZIJA ANTONIO SEMA PIRAN
38004,GIMNAZIJA PIRAN
38005,"GIMNAZIJA, ELEKTRO IN POMORSKA ŠOLA PIRAN"
39001,SREDNJA GOZDARSKA IN LESARSKA ŠOLA POSTOJNA
39002,ŠOLSKI CENTER POSTOJNA
39101,LJUDSKA UNIVERZA POSTOJNA
39102,ZAVOD ZNANJE POSTOJNA
40001,ŠOLSKI CENTER PTUJ
40002,GIMNAZIJA PTUJ
40101,LJUDSKA UNIVERZA PTUJ
41001,SREDNJA ŠOLA MUTA
42001,SREDNJA GOSTINSKO-TURISTIČNA IN EKONOMSKA ŠOLA BLED
42002,SREDNJA GOSTINSKA IN TURISTIČNA ŠOLA RADOVLJICA
42003,EKONOMSKA GIMNAZIJA IN SREDNJA ŠOLA RADOVLJICA
42101,LJUDSKA UNIVERZA RADOVLJICA
42102,TOP - REGIONALNI IZOBRAŽEVALNI CENTER D.O.O. RADOVLJICA
42103,ZAVOD ZA IZOBRAŽEVANJE ODRASLIH RADOVLJICA
43001,ŠOLSKI CENTER RAVNE NA KOROŠKEM
43002,GIMNAZIJA RAVNE NA KOROŠKEM
43003,SREDNJA ŠOLA RAVNE NA KOROŠKEM
43101,LJUDSKA UNIVERZA RAVNE NA KOROŠKEM
44001,ŠOLSKI CENTER ROGAŠKA SLATINA
44002,SREDNJA STEKLARSKA ŠOLA ROGAŠKA SLATINA
44101,LJUDSKA UNIVERZA ROGAŠKA SLATINA
44102,PRAH - IZOBRAŽEVALNI CENTER ROGAŠKA SLATINA
45001,SREDNJA ŠOLA SEVNICA
46001,ŠOLSKI CENTER SREČKA KOSOVELA SEŽANA
46101,LJUDSKA UNIVERZA SEŽANA
47001,ŠOLSKI CENTER SLOVENJ GRADEC
47101,"MOCIS, CENTER ZA IZOBRAŽEVANJE ODRASLIH SLOVENJ GRADEC"
48001,SREDNJA ŠOLA SLOVENSKA BISTRICA
48101,LJUDSKA UNIVERZA SLOVENSKA BISTRICA
49001,SREDNJA POKLICNA IN STROKOVNA ŠOLA  ZREČE
49002,ŠOLSKI CENTER SLOVENSKE KONJICE - ZREČE
49101,SVETOVALNO-IZOBRAŽEVALNI CENTER SLOVENSKE KONJICE
51001,ŠOLSKI CENTER  ŠKOFJA LOKA
51002,SREDNJA ŠOLA ZA LESARSTVO ŠKOFJA LOKA
51003,CENTER SLEPIH IN SLABOVIDNIH DR. ANTONA KRŽIŠNIKA - SREDNJA ŠOLA ŠKOFJA LOKA
51004,GIMNAZIJA ŠKOFJA LOKA
51005,SREDNJA ŠOLA ZA STROJNIŠTVO ŠKOFJA LOKA
51101,LJUDSKA UNIVERZA ŠKOFJA LOKA
53001,GIMNAZIJA TOLMIN
53101,"INTER - ES D.O.O. IZOBRAŽEVANJE, SVETOVANJE, TRGOVINA"
53102,"AGENCIJA TOLMINSKA - PEROVIČ, TOLMIN"
54001,SREDNJA TEHNIŠKA IN POKLICNA ŠOLA TRBOVLJE
54002,GIMNAZIJA IN EKONOMSKA SREDNJA ŠOLA TRBOVLJE
54101,ZASAVSKA LJUDSKA UNIVERZA
55101,CENTER ZA IZOBRAŽEVANJE IN KULTURO TREBNJE
57001,ŠOLSKI CENTER VELENJE
57002,GIMNAZIJA VELENJE
57101,"ANDRAGOŠKI ZAVOD, LJUDSKA UNIVERZA VELENJE"
59001,SREDNJA ŠOLA ZAGORJE
59002,SREDNJA ŠOLA ZA ELEKTROTEHNIKO IN GOSTINSTVO ZAGORJE OB SAVI
60101,UPI - LJUDSKA UNIVERZA ŽALEC
88888,SREDNJA ŠOLA V BIVŠIH REPUBLIKAH SFRJ (DO 25. 6. 1991)
99998,SREDNJA ŠOLA S SLOVENSKIM UČNIM JEZIKOM V TUJINI
99999,SREDNJA ŠOLA V TUJINI
